id	str_name	windowstypeid	str_district	dte_start	dte_end	str_locality	num_statusid	num_obligationid	txt_description	txt_notes	str_filemakercode	bln_inactive
250	Peaceful Paths Domestic Abuse Network Women's	1	FL	0000-00-00	0000-00-00	Outside CA	4	3			P0379	1
251	Peaceful Paths Domestic Abuse Network Children's	2	FL	0000-00-00	0000-00-00	Outside CA	1	3			P0380	0
252	Crescent House Healing Center Women's	1	LA	0000-00-00	0000-00-00	New Orleans, LA	1	3	Trained at NCADV		P0378	0
253	Crescent House Healing Center Children's	2	LA	0000-00-00	0000-00-00	Outside CA	1	3	Trained at NCADV		P0377	0
254	Advocates for Victims of Violence Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	1			P0384	1
255	Raksha, Inc. Women's	1	GA	0000-00-00	0000-00-00	Outside CA	1	3	Attended NCADV		P0382	0
256	Raksha, Inc. Children's	2	GA	0000-00-00	0000-00-00	Outside CA	1	3	Attended NCADV		P0381	0
257	Safe Homes Rape Crisis Coalition Children's	2	SC	0000-00-00	0000-00-00	Outside CA	1	3	Attended NCADV 2006		P0383	0
258	Human Options - Transitional Women's	1		0000-00-00	0000-00-00	LA County	1	1			P0387	0
259	Delete	1	WI	0000-00-00	0000-00-00	Outside CA	2	1				1
260	ARTesia/Bell Arts Factory Women's	1		0000-00-00	0000-00-00	Southern CA	1	1		11/4/2014 - Name changed from Kid's Arts/Westside Cultural Center - ARTesia Women's	P0365	0
261	Phoebe's Home Women's	1	TX	0000-00-00	0000-00-00	Outside CA	5	1			P0366	1
262	Project Dove Women's	1	OR	0000-00-00	0000-00-00	Outside CA	5	1			P0368	1
263	South Lane Mental Health Women's	1	OR	0000-00-00	0000-00-00	Outside CA	3	1			P0371	0
264	Delete	1		0000-00-00	0000-00-00		0	0				1
265	WomenShelter of Long Beach (WSLB) Women's	1	Los Angeles Coun	0000-00-00	0000-00-00	LA County	1	1			P0057	0
266	Womencare Shelter Women's	1	WA	0000-00-00	0000-00-00	Outside CA	1	3			P0370	0
267	Delete	1	Southern CA	0000-00-00	0000-00-00		2	1				1
268	Supporters of Abuse Free Environments Women's	1	MT	0000-00-00	0000-00-00	Outside CA	1	1		Attending TWC111	P0388	0
427	Advocates of Ozaukee Children's	2	WI	0000-00-00	0000-00-00	Outside CA	1	0	Distance Learning		P0630	0
269	HELP of Door County Women's	1	WI	0000-00-00	0000-00-00	Outside CA	2	1			P0369	1
270	MMC - Outreach - Marjaree Mason Center Women's	1		0000-00-00	0000-00-00	Central California	2	2			P0373	1
271	Arctic Women In Crisis (AWIC) Women's	1	AK	0000-00-00	0000-00-00	Outside CA	1	1			P0389	0
272	Caring Unlimited Womens	1	ME	0000-00-00	0000-00-00	Outside CA	4	3			P0406	1
273	Safer Futures Children's	2	OH	0000-00-00	0000-00-00	Outside CA	5	3	Attended NCADV		P0362	1
274	2nd Chance Children's	2	AL	0000-00-00	0000-00-00	Outside CA	2	3	Attended NCADV		P0392	1
275	Reach of Haywood Children's	2	NC	0000-00-00	0000-00-00	Outside CA	2	3	Attended NCADV		P0391	1
276	Refuge House Women's	1	FL	0000-00-00	0000-00-00	Outside CA	1	3		NCADV Women's Training Jul 2006	P0394	0
277	Community Anti-Violence Alliance Womens	1	IN	0000-00-00	0000-00-00	Outside CA	5	1		8/21/2006:OP gave a walkthough the website and reporting procces. Daphne wants to do 2 programs one at CAVA on at Harmony Health(adult survivors of childhood sexual assault). She also wants to attend the TC62 and start a children's group and eventually leada women and children's group. She will be an online leader and let us know if she wants postal mail updates.	P0396	0
278	Harmony Health Women's	1	IN	0000-00-00	0000-00-00	Outside CA	1	3		8/21/2006:OP gave a walkthough the website and reporting procces. Daphne wants to do 2 programs one at CAVA on at Harmony Health(adult survivors of childhood sexual assault). She also wants to attend the TC62 and start a children's group and eventually leada women and children's group. She will be an online leader and let us know if she wants postal mail updates.	P0397	1
279	Safe Harbor, Inc. Women's	1	SC	0000-00-00	0000-00-00	Outside CA	2	3			P0395	1
280	Supporters of Abuse Free Environments Children's	2	MT	0000-00-00	0000-00-00	Outside CA	2	3		Attending TWC111	P0399	0
281	Life Crisis Center Women's	1	MD	0000-00-00	0000-00-00	Outside CA	1	3	ncadv06		P0400	0
282	A Woman's Place Women's	1	PA	0000-00-00	0000-00-00	Outside CA	2	3	NCADV06	NCADV06	P0402	1
283	Women Aware Children's	2	NJ	0000-00-00	0000-00-00	Outside CA	5	3	NCADV 2006		P0404	1
284	Safe and Fear-Free Environment (SAFE) Alaska Women's	1	AK	0000-00-00	0000-00-00	Outside CA	2	3			P0398	1
285	Gateway House, Inc. Georgia Women's	1	GA	0000-00-00	0000-00-00	Outside CA	1	3			P0409	0
286	ARTesia/Bell Arts Factory Children's	2		0000-00-00	0000-00-00	Southern CA	1	1		11/4/2014 - Name changed from Kid's Arts/Westside Cultural Center - ARTesia Children's	P0418	0
287	Deaf Hope Children's	2	CA	0000-00-00	0000-00-00	Northern CA	1	1			P0412	0
288	Delete	2		0000-00-00	0000-00-00		0	0				1
289	South Bay Community Services Children's	2	CA	0000-00-00	0000-00-00	Southern CA	1	1			P0413	0
290	Feather River Tribal Health, Inc. Children's	2	CA	0000-00-00	0000-00-00		1	1			P0414	0
291	Marjaree Mason Center Children's	2	CA	0000-00-00	0000-00-00	Northern CA	1	1			P0415	0
292	Mountain Crisis Services Children's	2	CA	0000-00-00	0000-00-00		1	1			P0416	0
293	Isiah House Children's	2	CA	0000-00-00	0000-00-00	LA County	1	1			P0417	0
294	ADV - Outreach - Alternatives to Domestic Violence Children's	2	CA	0000-00-00	0000-00-00	LA County	1	1			P0408	1
295	Berkshire Children and Families Children's	2		0000-00-00	0000-00-00	Outside CA	3	3			P0809	0
296	Community Action Partnership of Madera County (CAP of MC) Children's	2	CA	0000-00-00	0000-00-00	Central California	1	1			P0436	0
297	Phoebe's Home Children's	2	TX	0000-00-00	0000-00-00	Outside CA	1	1			P0427	1
298	AWARE - Aiding Women in Abuse and Rape Emergencies -  Outreach Harborview Children's	2	AK	0000-00-00	0000-00-00	Outside CA	2	2			P0437	1
299	St. Claires Women's	1		0000-00-00	0000-00-00	Southern CA	1	3			P0431	1
300	Dawson County Domestic Violence Program Women's	1	MT	0000-00-00	0000-00-00	Outside CA	1	3			P0440	0
301	Haven House (NM) Women's	1	NM	0000-00-00	0000-00-00	Outside CA	4	3		NCADV06	P0441	0
302	Haven House (NM) Children's	2	NM	0000-00-00	0000-00-00	Outside CA	1	3	Attened NCADV 2006		P0442	0
305	Safer Futures Women's	1	OH	0000-00-00	0000-00-00	Outside CA	1	3			P0430	0
303	Lydia Place Women's	1	WA	0000-00-00	0000-00-00	Outside CA	1	3			P0407	0
304	Delete	1		0000-00-00	0000-00-00		1	3				1
307	Abused Women's Aid in Crisis (AWAIC) Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	1			P0451	0
306	Community Corrections and Counseling Services, Inc. Women's	1	MT	0000-00-00	0000-00-00	Outside CA	1	3				0
309	USMC Family Advocacy Program Children's	2		0000-00-00	0000-00-00	Southern CA	1	3			P0453	0
310	Women�s Shelter of Long Beach (WSLB) - Outreach Women's	1	Los Angeles	0000-00-00	0000-00-00	LA County	1	1	Gloria attending T112		P0439	0
311	South Bay Community Services Women's	1	San Diego County	0000-00-00	0000-00-00	Southern CA	1	1			P0460	0
312	PROTOTYPES - Hollywood Women's	1	LA County	0000-00-00	0000-00-00		1	1			P0456	0
313	Heritage House South Women's	1		0000-00-00	0000-00-00	Southern CA	1	1			P0459	0
314	Skid Row Housing Trust Women's	1		0000-00-00	0000-00-00	LA County	2	3	Formally LAMP COMMUNITY CENTER		P0455	1
315	Family Advocates, Inc. Women's	1	WI	0000-00-00	0000-00-00	Outside CA	1	1			P0367	0
316	Arctic Women In Crisis (AWIC) Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	1			P0668	0
317	The Women�s Center (IL) Children's	2	IL	0000-00-00	0000-00-00	Outside CA	0	0	Teen program		P0322	0
318	Women's Care Cottage Children's	2		0000-00-00	0000-00-00	LA City	0	0			P0444	0
319	delete	2		0000-00-00	0000-00-00	LA County	3	0				1
320	Angel Step Inn - Foley House Women's	1		0000-00-00	0000-00-00	LA city	1	1			P0463	0
321	Julian's Sanctuary Women's	1		0000-00-00	0000-00-00	Southern CA	1	1			P0462	0
322	Delete	1		0000-00-00	0000-00-00	Central California	1	3				1
323	Delete	2		0000-00-00	0000-00-00	Central California	1	3		Formerly Central California Family Crisis Outreach Children's. Deleted on leaders request.		1
324	Su Casa - Non-residential Children's	2		0000-00-00	0000-00-00	LA County	1	3			P0468	0
325	Center for Prevention of Abuse Women's	1	Outside CA	0000-00-00	0000-00-00	IL	1	3	NCADV program		P0476	0
326	Saving Grace Children's	2		0000-00-00	0000-00-00	Outside CA	1	1			P0469	0
327	Community Alliance Against Family Abuse Children's	2		0000-00-00	0000-00-00	Outside CA	4	2	Attending May 2007 training		P0470	0
328	Children's National Medical Center Children's	2		0000-00-00	0000-00-00	Outside CA	1	3	Attending May 2007 training		P0471	0
329	Lutheran Settlement House Children's	2		0000-00-00	0000-00-00	Outside CA	1	1	attending Children's training 07		P0475	0
330	Robert Sundance Family Wellness Center Children's	2		0000-00-00	0000-00-00	LA City	5	1	Attending May 2007 Training		P0472	1
331	Round House Council Children's	2		0000-00-00	0000-00-00	Northern CA	2	1	Attending May 2007 training		P0473	1
332	Marjaree Mason Center - Reedley Children's	2		0000-00-00	0000-00-00	central CA	1	1	Attending May 2007 training		P0474	0
333	Ministers of Light Women's	1		0000-00-00	0000-00-00	LA County	3	1			P0789	0
334	The David and Margaret Home Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0450	0
366	Round House Council Women's	1		0000-00-00	0000-00-00	Northern CA	1	1			P0530	0
335	Julian's Sanctuary Children's	2		0000-00-00	0000-00-00	Southern CA	1	0			P0479	0
336	Seven Generations Children's	2		0000-00-00	0000-00-00	LA City	1	1				0
337	Heritage House South Children's	2		0000-00-00	0000-00-00	Orange Co	1	0			P0480	0
338	A Woman's Place Children's	2	PA	0000-00-00	0000-00-00	Outside CA	2	3			P0482	1
339	Rape and Abuse Crisis Center of Fargo-Moorhead Women's	1	ND	0000-00-00	0000-00-00	Outside CA	2	3			P0485	1
340	Alternatives to Domestic Violence - Riverside Outreach Women's	1	Riverside County	0000-00-00	0000-00-00		1	1	Previous listed name: Casa de Paz (ADV) Outreach	Previous listed name: Casa de Paz (ADV) Outreach	P0486	0
341	Northland Job Corps	1	Outside Californ	0000-00-00	0000-00-00	VT	1	3			11815	1
342	Five Acres - Grace Center Women's	1	Los Angeles Coun	0000-00-00	0000-00-00	CA	1	1			P0492	0
343	FRTH - Feather River Tribal Health, Inc. Women's	1	CA	0000-00-00	0000-00-00		2	1			P0493	1
344	South Gate Police Dept. Family Violence Prevention Women's	1	CA	0000-00-00	0000-00-00	Los Angeles County	1	1			P0496	0
345	Peace Over Violence Women's	1	CA	0000-00-00	0000-00-00	City of Los Angeles	1	1			P0228	0
346	PBPN - TVS Program Women's	1		0000-00-00	0000-00-00	Outside CA	3	3			P0790	0
347	Domestic Violence Center of Santa Clarita Valley Women's	1	CA	0000-00-00	0000-00-00	Southern CA	1	1	Attending T121\
Attended T131		P0429	0
348	Angel Step Inn - LA Women's	1		0000-00-00	0000-00-00	LA City	1	1			P0505	0
349	The Family Place Women's	1	TX	0000-00-00	0000-00-00	Outside CA	3	1			P0507	0
350	The Salvation Army Domestic Violence/ Rape Crisis Program Women's	1		0000-00-00	0000-00-00		2	2			P0508	1
351	SafeHouse Denver Women's	1	CO	0000-00-00	0000-00-00	Outside CA	1	3			P0511	0
352	Yavapai Family Advocacy Center Women's	1	AZ	0000-00-00	0000-00-00	Outside CA	1	3			P0512	0
353	Yavapai Family Advocacy Center Children's	2	AZ	0000-00-00	0000-00-00	Outside CA	1	3			P0513	0
354	YWCA of Monterey County Children's	2		0000-00-00	0000-00-00	Northern CA	1	1			P0520	0
355	Human Options - Community Resource Center Children's	2		0000-00-00	0000-00-00	Southern CA	1	1			P0518	0
356	LA Bridges / Children's Hospital Los Angeles Children's	2		0000-00-00	0000-00-00	LA City	1	1			P0516	0
357	San Pasqual Valley Family Resource Center Children's	2		0000-00-00	0000-00-00	Northern CA	1	1			P0517	0
358	Equinox Inc. Children's	2	NY	0000-00-00	0000-00-00	Outside CA	1	1			P0522	0
359	Abused Deaf Women's Advocacy Services Children's	2	WA	0000-00-00	0000-00-00	Outside CA	1	1			P0521	0
360	Healthy Start Program, Jurupa Unified School District Children's	2		0000-00-00	0000-00-00	Southern CA	1	1			P0519	0
361	delete - Foothill Family Service Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0015	1
362	New Start Center Women's	1	LA	0000-00-00	0000-00-00	Outside CA	3	3	Attended LCADV 2007		P0523	1
363	Casa de Esperanza Children's	2		0000-00-00	0000-00-00	Northern CA	3	3			P0524	0
364	YWCA of GLA - Compton Women's	1		0000-00-00	0000-00-00	LA City	1	3			P0527	0
365	Option House Women's	1		0000-00-00	0000-00-00	LA County	1	1	Attended T122		12716	0
368	East Los Angeles Women's Center Women's	1		0000-00-00	0000-00-00	LA City	1	1	Emma attending T112\
Elena attending T112\
Attended T131		P0531	0
369	ADV - Alternatives to Domestic Violence - Temecula Outreach Women's	1		0000-00-00	0000-00-00	Southern CA	2	2			P0532	1
379	delete	1		0000-00-00	0000-00-00		1	3				1
380	The Leeshore Center Childen's	2	AK	0000-00-00	0000-00-00	Outside CA	2	3			P0549	1
381	Emerge! Center Against Domestic Violence Children's	2	AZ	0000-00-00	0000-00-00	Outside CA	1	3		NCADV 2008	P0551	0
382	Mission View Elementary School Women's	1	AZ	0000-00-00	0000-00-00	Outside CA	3	3			P0720	1
474	PROTOTYPES - Tustin Family Campus Children's	2		0000-00-00	0000-00-00	Orange County	1	0			P0693	0
383	The Family Refuge Center Women's	1	WV	0000-00-00	0000-00-00	Outside CA	1	3		NCADV 2008	P0555	1
384	The Family Refuge Center Children''s	2	WV	0000-00-00	0000-00-00	Outside CA	5	3		NCADV 2008	P0554	1
385	Alternative Horizons Children's	2	CO	0000-00-00	0000-00-00	Outside CA	1	0		NCADV 2008	P0553	0
386	Consejo Counseling and Referral Service Women's	1	WA	0000-00-00	0000-00-00	Outside CA	1	3		NCADV 2008	P0557	0
387	Consejo Counseling and Referral Service Children's	2	WA	0000-00-00	0000-00-00	Outside CA	1	3		Attended NCADV 2008	P0556	0
388	Family Crisis Services Women's	1	ME	0000-00-00	0000-00-00	Outside CA	1	3		NCADV 08	P0558	0
389	Brighter Tomorrows Women's	1	NY	0000-00-00	0000-00-00	Outside CA	1	4		NCADV 2008	P0559	0
390	Brighter Tomorrows Children's	2	NY	0000-00-00	0000-00-00	Outside CA	1	3		NCADV 2008	P0560	0
391	Women's Resource Center Children's	2	PA	0000-00-00	0000-00-00	Outside CA	1	3		NCADV	P0561	0
392	Women's Resource Center Women's	1	PA	0000-00-00	0000-00-00	Outside CA	1	3		NCADV	P0562	0
393	YWCA Pierce County Children's	2	WA	0000-00-00	0000-00-00	Outside CA	1	3		NCADV 2008	P0563	0
394	Caring Unlimited Children's	2	ME	0000-00-00	0000-00-00	Outside CA	1	3		NCADV 2008\
NCADV 2010	P0564	0
395	The Laurel Center Children's	2	VA	0000-00-00	0000-00-00	Outside CA	1	3		Attended NCADV 2008	P0565	0
396	The Laurel Center Women's	1	VA	0000-00-00	0000-00-00	Outside CA	1	3		Attended NCADV 2008	P0566	0
397	STOP Domestic Violence/BHSN women's	1	NY	0000-00-00	0000-00-00	Outside CA	5	3		Attended NCADV 2008	P0567	1
398	YWCA of Monterey County Women's	1	CA	0000-00-00	0000-00-00	Northern CA	1	1			P0571	0
399	delete	1		0000-00-00	0000-00-00		0	0				1
406	The Lotus Project LA Women's	1	LA	0000-00-00	0000-00-00	CA	1	1	Susan attending T112		P0498	0
400	Crisis Shelter of Lawrence County Women's	1		0000-00-00	0000-00-00		1	3			P0793	0
401	Huff Art Center Women's	1	CA	0000-00-00	0000-00-00	Central California	1	1			P0568	0
402	Victor Valley Family Resource Center Children's	2		0000-00-00	0000-00-00	Southern CA	3	0			P0672	0
403	Family Service Agency of Burbank Women's	1	CA	0000-00-00	0000-00-00	LA County	2	1			P0569	1
404	Latino Family Institute/Project Nuestras Familias Women's	1	CA	0000-00-00	0000-00-00	Orange County	1	1			P0574	0
405	CAP Services Family Crisis Center Women's	1	WI	0000-00-00	0000-00-00	Outside CA	3	1			P0572	0
407	Pacific Clinics FSP - Full Service Partnership Program Women's	1	Santa Fe	0000-00-00	0000-00-00	LA County	1	1			P0583	0
408	Pacific Clinics - Substance Abuse Women's	1	Pomona	0000-00-00	0000-00-00	LA County	1	1			P0585	0
409	Pacific Clinics - Pomona Women's	1	Pomona	0000-00-00	0000-00-00	LA County	1	1		03/2009: formerly Pacific Clinics CalWORKS	P0584	0
410	Marjaree Mason Center - Reedley Women's	1		0000-00-00	0000-00-00	Central California	1	1			P0581	0
412	Sexual Assault/Domestic Violence Center Women's	1	KS	0000-00-00	0000-00-00	Outside CA	0	0		Attended NCADV 08	P0595	0
413	Women in Distress Women's	1	FL	0000-00-00	0000-00-00	Outside CA	0	0		Attended NCADV 08	P0602	0
414	Women in Distress Children's	2	FL	0000-00-00	0000-00-00	Outside CA	1	3		Attended NCADV 08	P0601	0
415	YWCA Glendale - Domestic Violence Project Women's	1		0000-00-00	0000-00-00	LA County	3	1	Attending T121		P0743	0
416	Family Scholar House Children's	2	KY	0000-00-00	0000-00-00	Outside CA	3	0			P0609	0
417	empower HOUSE Children's	2	VA	0000-00-00	0000-00-00	Outside CA	1	1	Attending Distance Training 2012	Formerly know as Rappahannock Council on Domestic Violence	P0605	0
418	Family Service Agency of Burbank Childrens	2	CA	0000-00-00	0000-00-00	LA County	1	1			P0603	0
419	East Bay Agency for Children Children's	2	CA	0000-00-00	0000-00-00	Northern CA	1	1			P0604	0
420	Chicana Service Action Center - CalWORKS/Non Residential Children's	2	LA	0000-00-00	0000-00-00	CA	1	1			P0608	0
421	The Phoenix Project Women's	1	VA	0000-00-00	0000-00-00	Outside CA	2	1			P0573	0
535	Whittier Rio Hondo AIDS Project/Chris Wahl Youth Center Children	2		0000-00-00	0000-00-00	LA County	3	0		NCADV 2010	P0787	0
422	YWCA of Columbus Women's	1	OH	0000-00-00	0000-00-00		3	3			P0617	0
423	AVV - Advocates for Victims of Violence Women's	1	AK	0000-00-00	0000-00-00	Outside CA	5	3			P0619	1
424	Pacific Clinics - Pomona Children's	2	Pomona	0000-00-00	0000-00-00	LA County	1	0			P0620	0
425	Alternative Horizons Women's	1	CA	0000-00-00	0000-00-00	Outside CA	3	3			13447	0
426	Ellis Mental Health Clinic Women's	1	NY	0000-00-00	0000-00-00	Outside CA	1	3			P0626	0
428	Doves of Big Bear Valley, Inc. Women's	1		0000-00-00	0000-00-00	Southern CA	1	0			P0633	0
429	Jenesse Center, Inc. Transitional Women's	1		0000-00-00	0000-00-00	LA City	2	0			P0634	0
430	Cuatro Caminos Women's	1		0000-00-00	0000-00-00	Southern CA	3	0			P0635	0
431	WOMAN, Inc Women's	1	CA	0000-00-00	0000-00-00	Northern CA	2	1			P0632	0
432	Northwest Family Life Women's	1	WA	0000-00-00	0000-00-00	Outside CA	2	0			P0641	0
433	Harvey County Domestic Violence and Sexual Assault Task Force  Children's	2	KS	0000-00-00	0000-00-00	Outside CA	1	0	Distance Learning		P0639	0
434	Gateway House, Inc. Georgia Children's	2	GA	0000-00-00	0000-00-00	Outside CA	0	0	NACADV 2006		P0642	0
435	Aviva Family and Childen's Services Children's	2	LA	0000-00-00	0000-00-00	LA City	1	1			P0643	1
436	South Gate Police Department Police Activities League (PAL) Children's	2	CA	0000-00-00	0000-00-00	LA County	1	3			P0644	0
437	WOMAN, Inc. Children's	2	CA	0000-00-00	0000-00-00	Northern CA	1	1			P0645	0
438	Cortez Hill Family Center Children's	2	San Diego	0000-00-00	0000-00-00	Orange County	1	1			P0646	0
439	Brooks Foster Care, Inc. Children's	2		0000-00-00	0000-00-00	LA County	0	0			P0647	0
440	Doves of Big Bear Valley, Inc. Children's	2		0000-00-00	0000-00-00	Southern CA	1	1			P0648	0
441	Doves of Big Bear Valley, Inc. Outreach Children's	2		0000-00-00	0000-00-00	Southern CA	1	1			P0649	0
442	Casa de Alegria Women's	1		0000-00-00	0000-00-00	LA City	1	1			P0689	0
443	Coalition to Abolish Slavery and Trafficking (CAST) Women's	1		0000-00-00	0000-00-00	LA City	3	3			P0698	0
444	Family Assistance Program Children's	2	San Bernardino	0000-00-00	0000-00-00	Southern CA	1	3	formerly High Desert Domestic Violence Program, Inc.	High Desert training	P0652	0
445	La Casa, Inc Women's	1	NM	0000-00-00	0000-00-00	Outside CA	1	1	Attending 2012 Distance Training		P0655	0
446	Huntington Park Police Department Womens	1		0000-00-00	0000-00-00	LA County	3	0			P0664	0
447	Shepherd's Door Domestic Violence Resource Center Women's	1		0000-00-00	0000-00-00	LA County	3	1			P0663	0
448	Manual Art Service Center Women's	1		0000-00-00	0000-00-00	LA City	1	1			P0658	0
449	SCADP LIFE Program Women's	1		0000-00-00	0000-00-00	LA County	3	0			P0657	0
450	DELETE	1		0000-00-00	0000-00-00	LA CIty	1	3				1
525	AWC/NAU- Yuma Violence Prevention Program - Arizona Western College Women's	1	AZ	0000-00-00	0000-00-00	Outside CA	1	0	NCADV 2010		P0777	0
451	Hope House Madera County Women's	1		0000-00-00	0000-00-00	Central CA	3	0			P0665	0
452	PROTOTYPES - South LA Women's	1		0000-00-00	0000-00-00	LA City	1	1	Attended T131		P0662	0
453	TESSA Women's	1	CO	0000-00-00	0000-00-00	Outside CA	2	2			P0659	0
454	Center Against Sexual Assault (CASA) Women's	1		0000-00-00	0000-00-00	LA County	1	1	Attending T121		P0656	0
455	Bienvenidos - CalWorks Women's	1		0000-00-00	0000-00-00	LA City	3	0			P0667	0
456	Bienvenidos - Project Rainbow Women's	1		0000-00-00	0000-00-00	LA County	1	1			P0666	0
457	Domestic Violence Center of Santa Clarita Valley - Outreach Women's	1		0000-00-00	0000-00-00	LA County	1	3	Attended T122		P0660	0
458	Human Options - Center for Children and Families Women's	1		0000-00-00	0000-00-00	Southern CA	1	1	Norma attending T112		P0669	0
459	Center for Integrated Family Health Services - The Family Center Women's	1		0000-00-00	0000-00-00	LA County	1	3	Trained at Spiritt. 2009		P0671	0
460	Calif State Conservation Corps	1		0000-00-00	0000-00-00	central CA	4	3			P0673	1
461	Circles in Healing Children's	2		0000-00-00	0000-00-00	Outside CA	1	3			P0674	0
462	Southeast Spouse Abuse Program Chidlren's	2	Outside CA	0000-00-00	0000-00-00	LA	1	2		Attended LCADV 8/09	P0676	0
463	Asian Pacific Women's Center (APWC) Children's	2		0000-00-00	0000-00-00	LA City	1	1		TC92	P0677	0
464	Casa De Alegria Children's	2		0000-00-00	0000-00-00	LA County	1	1		TC92	P0678	0
465	Union Rescue Mission - Hope Gardens Family Center Children's	2		0000-00-00	0000-00-00	LA County	1	1		TC92	P0687	0
466	Center for Integrated Family Health Services - The Family Center - DMH Children's	2		0000-00-00	0000-00-00	LA County	1	1		TC92	P0681	0
467	Center for Integrated Family Health Services - The Family Center - CBS Children's	2		0000-00-00	0000-00-00	LA County	1	1	4/30/14: Merged with CIFHS-DMH Children's	TC92	P0682	1
468	YWCA of GLA - Compton Children's	2		0000-00-00	0000-00-00	LA City	1	1		TC92	P0679	0
469	La Casa, Inc Children's	2	NM	0000-00-00	0000-00-00	Outside CA	1	1	Distance Training 2012	TC92	P0680	0
470	Los Angeles Adult School Children's	2		0000-00-00	0000-00-00	LA City	1	1		TC92\
TC101	P0688	0
471	Mission View Elementary School Children's	2	AZ	0000-00-00	0000-00-00	Outside CA	1	1		TC92	P0683	0
472	Young Women's Justice Center Children's	2		0000-00-00	0000-00-00	LA City	1	1			P0690	0
473	Pacific Clinics Sierra Family Center Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0691	0
475	PROTOTYPES - Tustin Family Campus Women's	1		0000-00-00	0000-00-00	Orange County	0	0			P0694	0
476	Casa De Los Ninos Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	1	Distance Learning		P0702	0
477	Ottawa County Juvenile Services Center Children's	2	Outside CA	0000-00-00	0000-00-00	Michigan	1	1	Distance Learning 2010		P0707	0
478	Women's Center High Desert Children's	2		0000-00-00	0000-00-00	Northern CA	0	0			P0708	0
479	Women's Shelter Program of San Luis Obispo County Women's	1		0000-00-00	0000-00-00	Central California	1	1			P0716	0
480	Haven Two Women's	1		0000-00-00	0000-00-00	LA County	1	1			P0715	0
481	Pacific Clinics - Sierra Family Center Women's	1		0000-00-00	0000-00-00	LA County	1	1			P0709	0
482	All Peoples Community Center Women's	1		0000-00-00	0000-00-00	LA City	1	1			P0711	0
483	A Change of Faces Women's	1		0000-00-00	0000-00-00	LA County	2	1			P0712	0
484	Resilience Women's	1		0000-00-00	0000-00-00	Japan	3	3			P0775	0
485	Venice Housing Community Women's	1		0000-00-00	0000-00-00	LA County	1	1			P0710	0
486	Huntington Park Police Department Children's	2		0000-00-00	0000-00-00	LA County	0	0			P0717	0
487	Joyful Heart Foundation Women's	1		0000-00-00	0000-00-00	LA City	5	3	Attending T142		P0722	0
488	Joyful Heart Foundation Children's	2		0000-00-00	0000-00-00	LA City	1	3			P0723	0
489	Crossroads Women's	1		0000-00-00	0000-00-00	LA County	3	3			P0724	0
502	YWCA of Greater LA - Angeles Mesa Women's	1		0000-00-00	0000-00-00	LA County	1	1	Attending T121		P0761	0
490	YWCA of GLA - Angeles Mesa Childrens	2		0000-00-00	0000-00-00	LA City	1	1			P0731	0
491	The Spring of Tampa Bay, Inc. Children's	2	FL	0000-00-00	0000-00-00	Outside CA	1	1			P0732	0
492	Option House, Inc. Children's	2		0000-00-00	0000-00-00	Southern CA	1	1			P0733	0
493	delete	2		0000-00-00	0000-00-00	delete	0	0				1
494	Consejo - Mi Casa Children's	2	WA	0000-00-00	0000-00-00	Outside CA	1	1			P0735	0
495	Seeking Peaceful Solutions Childrens	2		0000-00-00	0000-00-00	LA City	1	5			P0736	0
496	Little Tokyo Service Center Children's	2		0000-00-00	0000-00-00		0	0			P0737	0
497	Women's Shelter Program of San Luis Obispo County Children's	2		0000-00-00	0000-00-00	Central California	1	1			P0738	0
498	Angel Step Inn - DV Services Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0740	0
499	Archuleta County Victim Assistance Program Children's	2	CO	0000-00-00	0000-00-00	Outside CA	1	1		Distance Learning 6/2010	P0726	0
500	Cordova Family Resource Center - Tatitlek/Chenega Bay Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	1			P0745	0
501	Valley Oasis - Kaylas Place Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0746	0
503	delete	1		0000-00-00	0000-00-00	LA	0	1				1
504	Little House, Inc Women's	1	CA	0000-00-00	0000-00-00	LA County	1	1	Tina is the new liaison and starting the program at Little House.\
\
Attending T121		P0754	0
505	Los Angeles Gay and Lesbian Center (LAGLC) Women's	1		0000-00-00	0000-00-00	LA County	4	0	Larry attending T112		P0760	0
506	Union Rescue Mission - Hope Gardens Family Center Women's	1		0000-00-00	0000-00-00	LA County	1	1			P0661	0
507	Angel Step Inn - DV Services Women's	1		0000-00-00	0000-00-00	LA County	3	1	Attended T131		P0757	0
508	Center Against Sexual and Domestic Violence (CASDA) Women's	1	WI	0000-00-00	0000-00-00	Outside CA	3	1			P0755	0
509	Chicana Service Action Center - CalWORKS/Non Residential Women's	1		0000-00-00	0000-00-00	LA County	1	1	Attending T121		P0758	0
510	Raphael House of Portland Women's	1	OR	0000-00-00	0000-00-00	Outside CA	3	1			P0762	0
